Ad Title,Brand,Platform,Date of Release,View Count,Celebrity Featured,Ad Copy / Script,Ad Link,Source
Adidas Werbespot 1996,Adidas,Facebook,2024-08-05,4790297,Lena Meyer-Landrut,Saturn macht Technik zum Erlebnis!,https://www.sauer.com/,Meta Ads Library
McDonald's Werbespot 1973,McDonald's,Facebook,2022-09-09,7878776,Joko Winterscheidt,Erlebe Luxus auf vier Rädern – Mercedes-Benz.,https://renner.de/,W&V
Hornbach Werbespot 1979,Hornbach,TV,2022-07-18,4737345,Lena Meyer-Landrut,"Telekom – Erleben, was verbindet.",https://bien.net/,Deutscher Mediapreis
Volkswagen Werbespot 1994,Volkswagen,Facebook,2024-12-31,2331942,Florian David Fitz,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,https://www.patberg.org/,YouTube Leaderboard
Saturn Werbespot 2012,Saturn,Instagram,2021-04-22,1731170,,McDonald's – Ich liebe es.,http://www.koester.de/,YouTube Leaderboard
Nike Werbespot 2021,Nike,YouTube,2021-07-10,4586678,Elyas M'Barek,Saturn macht Technik zum Erlebnis!,http://benthin.com/,Meta Ads Library
Telekom Werbespot 1972,Telekom,YouTube,2021-06-17,7578671,,Dein Style. Deine Regeln. Adidas Originals.,https://mielcarek.com/,YouTube Leaderboard
Telekom Werbespot 2011,Telekom,YouTube,2024-09-05,8432281,,Dein Style. Deine Regeln. Adidas Originals.,http://juncken.com/,Meta Ads Library
Telekom Werbespot 1996,Telekom,YouTube,2022-11-03,3777135,Palina Rojinski,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",https://rosemann.org/,W&V
Lidl Werbespot 2002,Lidl,Instagram,2020-06-08,2318538,Elyas M'Barek,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",https://doerschner.de/,W&V
Saturn Werbespot 2009,Saturn,Facebook,2022-11-29,7536283,Lena Meyer-Landrut,Mach es zu deinem Projekt – mit Hornbach.,http://sontag.net/,YouTube Leaderboard
Lidl Werbespot 2019,Lidl,YouTube,2020-09-24,3628086,Joko Winterscheidt,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,https://www.schueler.de/,Deutscher Mediapreis
Lidl Werbespot 1980,Lidl,Instagram,2022-05-10,5062478,,Jetzt bei Lidl: Qualität zum besten Preis!,http://www.baehr.de/,YouTube Leaderboard
Mercedes-Benz Werbespot 1998,Mercedes-Benz,TV,2021-08-01,7679093,Florian David Fitz,Jetzt bei Lidl: Qualität zum besten Preis!,https://www.paffrath.de/,YouTube Leaderboard
Saturn Werbespot 2020,Saturn,TikTok,2020-10-28,285739,,McDonald's – Ich liebe es.,http://www.junk.de/,Meta Ads Library
Volkswagen Werbespot 2005,Volkswagen,Instagram,2023-07-02,36245,,Mach es zu deinem Projekt – mit Hornbach.,https://www.reinhardt.de/,W&V
Mercedes-Benz Werbespot 2015,Mercedes-Benz,TikTok,2022-07-18,3152605,,Jetzt bei Lidl: Qualität zum besten Preis!,https://www.holsten.org/,W&V
Lidl Werbespot 1985,Lidl,TikTok,2022-10-29,8521546,,McDonald's – Ich liebe es.,https://www.trommler.de/,YouTube Leaderboard
Telekom Werbespot 1991,Telekom,TV,2024-05-17,6500791,Manuel Neuer,Dein Style. Deine Regeln. Adidas Originals.,https://eberhardt.de/,W&V
Edeka Werbespot 1996,Edeka,Instagram,2023-03-26,5794825,Helene Fischer,Erlebe Luxus auf vier Rädern – Mercedes-Benz.,http://hoevel.com/,YouTube Leaderboard
Hornbach Werbespot 1993,Hornbach,Instagram,2024-01-22,753829,Elyas M'Barek,Dein Style. Deine Regeln. Adidas Originals.,https://gutknecht.org/,W&V
Volkswagen Werbespot 2008,Volkswagen,TV,2022-08-09,3068117,Lena Meyer-Landrut,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,http://www.weinhage.net/,YouTube Leaderboard
Saturn Werbespot 1986,Saturn,YouTube,2020-09-22,3392135,Joko Winterscheidt,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",http://www.ditschlerin.de/,Meta Ads Library
Edeka Werbespot 2018,Edeka,Instagram,2024-04-24,8656701,Joko Winterscheidt,"Telekom – Erleben, was verbindet.",http://www.rohleder.de/,Deutscher Mediapreis
Nike Werbespot 2014,Nike,YouTube,2024-05-04,4810144,,Dein Style. Deine Regeln. Adidas Originals.,https://www.jungfer.com/,YouTube Leaderboard
Adidas Werbespot 2022,Adidas,Instagram,2021-01-20,6184337,Helene Fischer,"Telekom – Erleben, was verbindet.",http://www.lindner.com/,Deutscher Mediapreis
Saturn Werbespot 1997,Saturn,TV,2024-07-05,3144272,Palina Rojinski,Saturn macht Technik zum Erlebnis!,http://anders.com/,Deutscher Mediapreis
Adidas Werbespot 1992,Adidas,TikTok,2022-09-19,1395991,Joko Winterscheidt,"Telekom – Erleben, was verbindet.",https://patberg.org/,YouTube Leaderboard
Telekom Werbespot 1983,Telekom,TikTok,2021-04-02,9161541,Elyas M'Barek,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,https://www.mies.org/,W&V
Lidl Werbespot 2018,Lidl,YouTube,2021-11-17,4970015,Palina Rojinski,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,http://roskoth.net/,Deutscher Mediapreis
Hornbach Werbespot 1981,Hornbach,TV,2023-09-29,7457546,Elyas M'Barek,Dein Style. Deine Regeln. Adidas Originals.,https://kusch.com/,Deutscher Mediapreis
Edeka Werbespot 1982,Edeka,Instagram,2021-06-28,7307090,Florian David Fitz,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,https://albers.de/,YouTube Leaderboard
Lidl Werbespot 1986,Lidl,TV,2024-02-04,8618154,Palina Rojinski,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,https://sauer.com/,YouTube Leaderboard
Volkswagen Werbespot 1987,Volkswagen,TikTok,2023-05-10,593829,Lena Meyer-Landrut,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,http://www.drubin.de/,YouTube Leaderboard
Mercedes-Benz Werbespot 1990,Mercedes-Benz,Instagram,2021-08-27,6433230,Palina Rojinski,Mach es zu deinem Projekt – mit Hornbach.,https://drubin.org/,YouTube Leaderboard
Hornbach Werbespot 1995,Hornbach,Facebook,2022-03-05,6233751,Lena Meyer-Landrut,Dein Style. Deine Regeln. Adidas Originals.,http://www.fliegner.de/,Deutscher Mediapreis
Lidl Werbespot 1998,Lidl,TikTok,2024-12-19,8892862,Elyas M'Barek,Dein Style. Deine Regeln. Adidas Originals.,https://www.stolze.com/,Deutscher Mediapreis
Adidas Werbespot 2005,Adidas,Instagram,2024-02-04,1913351,,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",https://www.dowerg.com/,Meta Ads Library
Saturn Werbespot 2007,Saturn,TikTok,2024-08-05,9433304,,Jetzt bei Lidl: Qualität zum besten Preis!,http://www.junken.de/,W&V
Nike Werbespot 1977,Nike,TV,2022-01-16,4801184,,Saturn macht Technik zum Erlebnis!,https://www.meister.com/,Meta Ads Library
Lidl Werbespot 2000,Lidl,Facebook,2021-06-01,7594017,Helene Fischer,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,https://bohlander.de/,Deutscher Mediapreis
Lidl Werbespot 2015,Lidl,Instagram,2022-12-01,1099496,Palina Rojinski,McDonald's – Ich liebe es.,http://adler.com/,W&V
Nike Werbespot 1973,Nike,Facebook,2023-11-25,6074832,Elyas M'Barek,McDonald's – Ich liebe es.,https://www.bonbach.com/,Meta Ads Library
Lidl Werbespot 2002,Lidl,Facebook,2020-07-25,3981774,Elyas M'Barek,Saturn macht Technik zum Erlebnis!,https://wirth.de/,YouTube Leaderboard
Adidas Werbespot 1995,Adidas,TikTok,2023-07-20,6199302,Florian David Fitz,Saturn macht Technik zum Erlebnis!,https://butte.com/,Meta Ads Library
Hornbach Werbespot 2014,Hornbach,YouTube,2023-04-03,5199037,Helene Fischer,"Telekom – Erleben, was verbindet.",http://www.kroker.com/,Deutscher Mediapreis
McDonald's Werbespot 2019,McDonald's,TV,2022-03-10,9655230,,Jetzt bei Lidl: Qualität zum besten Preis!,http://www.mohaupt.de/,Meta Ads Library
Adidas Werbespot 2006,Adidas,YouTube,2023-07-10,7825384,Lena Meyer-Landrut,McDonald's – Ich liebe es.,http://www.kensy.net/,W&V
Volkswagen Werbespot 2019,Volkswagen,TikTok,2021-04-03,3062834,Florian David Fitz,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,http://winkler.com/,Deutscher Mediapreis
McDonald's Werbespot 1986,McDonald's,YouTube,2022-01-18,8702311,Helene Fischer,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,http://www.beer.de/,W&V
Volkswagen Werbespot 2010,Volkswagen,Facebook,2020-09-16,3792763,Palina Rojinski,Dein Style. Deine Regeln. Adidas Originals.,http://www.mans.net/,W&V
Lidl Werbespot 2021,Lidl,Instagram,2020-10-10,9251585,,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,http://waehner.de/,Meta Ads Library
Nike Werbespot 2009,Nike,TikTok,2023-01-09,1577468,,McDonald's – Ich liebe es.,http://spiess.net/,Meta Ads Library
Hornbach Werbespot 1998,Hornbach,TikTok,2022-11-07,2882269,Elyas M'Barek,Mach es zu deinem Projekt – mit Hornbach.,https://www.scheel.com/,W&V
Hornbach Werbespot 2012,Hornbach,YouTube,2023-12-06,1372693,Manuel Neuer,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",https://www.seidel.de/,W&V
Mercedes-Benz Werbespot 2017,Mercedes-Benz,TikTok,2023-11-02,518113,,Saturn macht Technik zum Erlebnis!,https://www.kohl.de/,W&V
Nike Werbespot 1986,Nike,TV,2022-03-19,6823102,,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,https://www.bohlander.de/,Deutscher Mediapreis
Lidl Werbespot 2007,Lidl,YouTube,2024-10-20,7385356,Elyas M'Barek,"Telekom – Erleben, was verbindet.",http://hermighausen.de/,Deutscher Mediapreis
Saturn Werbespot 2014,Saturn,Facebook,2020-12-19,2420360,Palina Rojinski,Dein Style. Deine Regeln. Adidas Originals.,https://renner.net/,W&V
Adidas Werbespot 1973,Adidas,TV,2022-07-31,6226632,Elyas M'Barek,McDonald's – Ich liebe es.,https://www.graf.net/,YouTube Leaderboard
Adidas Werbespot 2002,Adidas,Facebook,2022-01-26,2065576,Lena Meyer-Landrut,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,https://hahn.com/,Deutscher Mediapreis
Mercedes-Benz Werbespot 2020,Mercedes-Benz,Facebook,2024-05-14,859015,Helene Fischer,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,http://www.henck.org/,Deutscher Mediapreis
Hornbach Werbespot 1995,Hornbach,TV,2024-04-05,2689315,,Dein Style. Deine Regeln. Adidas Originals.,https://klingelhoefer.de/,W&V
Mercedes-Benz Werbespot 1976,Mercedes-Benz,Facebook,2024-04-15,8645649,Lena Meyer-Landrut,Saturn macht Technik zum Erlebnis!,https://www.johann.net/,Deutscher Mediapreis
Nike Werbespot 2020,Nike,TV,2021-07-15,1520773,Manuel Neuer,"Telekom – Erleben, was verbindet.",http://schaaf.de/,Deutscher Mediapreis
Mercedes-Benz Werbespot 1990,Mercedes-Benz,Facebook,2021-08-04,5930597,Florian David Fitz,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",http://kramer.net/,YouTube Leaderboard
Nike Werbespot 2003,Nike,TV,2024-12-23,7905137,Florian David Fitz,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,https://vogt.de/,YouTube Leaderboard
Lidl Werbespot 2001,Lidl,TV,2021-09-22,4447118,Elyas M'Barek,Dein Style. Deine Regeln. Adidas Originals.,https://www.ullrich.de/,Deutscher Mediapreis
Adidas Werbespot 1982,Adidas,YouTube,2024-11-27,868283,,Mach es zu deinem Projekt – mit Hornbach.,http://www.steckel.com/,Meta Ads Library
Adidas Werbespot 1998,Adidas,TikTok,2021-06-19,1243658,Joko Winterscheidt,"Telekom – Erleben, was verbindet.",http://www.flantz.com/,Deutscher Mediapreis
McDonald's Werbespot 1984,McDonald's,Instagram,2024-08-06,2003318,Florian David Fitz,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,https://scholl.de/,YouTube Leaderboard
Telekom Werbespot 2014,Telekom,Instagram,2024-06-11,9368865,Palina Rojinski,Dein Style. Deine Regeln. Adidas Originals.,http://www.roehrdanz.de/,Meta Ads Library
Mercedes-Benz Werbespot 1970,Mercedes-Benz,TikTok,2020-06-08,6744157,,McDonald's – Ich liebe es.,https://paertzelt.de/,YouTube Leaderboard
Edeka Werbespot 2024,Edeka,YouTube,2021-10-26,5597495,Elyas M'Barek,Saturn macht Technik zum Erlebnis!,http://www.fischer.net/,Deutscher Mediapreis
Volkswagen Werbespot 1983,Volkswagen,TikTok,2024-10-09,2355135,,Dein Style. Deine Regeln. Adidas Originals.,https://kuhl.de/,W&V
Volkswagen Werbespot 2001,Volkswagen,TV,2025-02-06,5030319,Florian David Fitz,Mach es zu deinem Projekt – mit Hornbach.,http://www.stroh.com/,W&V
McDonald's Werbespot 1976,McDonald's,TikTok,2023-09-29,8228263,,Mach es zu deinem Projekt – mit Hornbach.,https://mueller.com/,W&V
Saturn Werbespot 2013,Saturn,YouTube,2020-05-17,5567278,Palina Rojinski,Jetzt bei Lidl: Qualität zum besten Preis!,http://www.maelzer.de/,Deutscher Mediapreis
Hornbach Werbespot 2008,Hornbach,Instagram,2021-02-08,7972302,Manuel Neuer,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,http://www.textor.de/,Meta Ads Library
Edeka Werbespot 1988,Edeka,TikTok,2020-09-09,2870717,Lena Meyer-Landrut,McDonald's – Ich liebe es.,http://rosemann.com/,Deutscher Mediapreis
Volkswagen Werbespot 1982,Volkswagen,Facebook,2022-12-21,9616135,Manuel Neuer,Jetzt bei Lidl: Qualität zum besten Preis!,http://www.fechner.de/,Meta Ads Library
Edeka Werbespot 1975,Edeka,TV,2022-11-03,7035967,Palina Rojinski,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,http://www.krein.de/,Deutscher Mediapreis
Mercedes-Benz Werbespot 1996,Mercedes-Benz,TV,2021-06-26,7922226,,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",http://dippel.net/,Meta Ads Library
McDonald's Werbespot 1975,McDonald's,Facebook,2023-03-12,5463426,,Saturn macht Technik zum Erlebnis!,https://schuster.de/,Deutscher Mediapreis
Adidas Werbespot 2003,Adidas,Facebook,2022-03-27,8954387,Lena Meyer-Landrut,Dein Style. Deine Regeln. Adidas Originals.,https://gotthard.de/,W&V
Nike Werbespot 1975,Nike,TikTok,2022-10-22,3235657,Lena Meyer-Landrut,Erlebe Luxus auf vier Rädern – Mercedes-Benz.,http://www.heuser.de/,W&V
McDonald's Werbespot 2018,McDonald's,Instagram,2021-08-10,5003143,,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,https://doering.org/,Meta Ads Library
Saturn Werbespot 2000,Saturn,Instagram,2023-05-11,5861946,Lena Meyer-Landrut,McDonald's – Ich liebe es.,https://www.christoph.de/,W&V
Nike Werbespot 2000,Nike,YouTube,2025-01-12,9123230,Florian David Fitz,"Telekom – Erleben, was verbindet.",https://www.cichorius.com/,Deutscher Mediapreis
Adidas Werbespot 2010,Adidas,Facebook,2023-01-20,715758,Joko Winterscheidt,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,https://www.liebelt.com/,YouTube Leaderboard
Adidas Werbespot 2019,Adidas,TV,2025-01-20,8047616,Joko Winterscheidt,Erlebe Luxus auf vier Rädern – Mercedes-Benz.,http://www.kramer.com/,Meta Ads Library
McDonald's Werbespot 1979,McDonald's,Instagram,2022-08-01,4567052,,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,https://fiebig.de/,YouTube Leaderboard
Hornbach Werbespot 1988,Hornbach,TikTok,2023-11-17,4077770,,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",https://klingelhoefer.net/,Meta Ads Library
Mercedes-Benz Werbespot 2019,Mercedes-Benz,YouTube,2024-07-06,6944046,Helene Fischer,Dein Style. Deine Regeln. Adidas Originals.,http://ernst.com/,Deutscher Mediapreis
Lidl Werbespot 1996,Lidl,Facebook,2023-02-14,9243383,Manuel Neuer,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,https://kaester.com/,Deutscher Mediapreis
Saturn Werbespot 1990,Saturn,TV,2023-01-09,4829172,,Dein Style. Deine Regeln. Adidas Originals.,http://gierschner.org/,W&V
Edeka Werbespot 2020,Edeka,YouTube,2024-06-21,3906008,Florian David Fitz,McDonald's – Ich liebe es.,http://holt.de/,YouTube Leaderboard
Volkswagen Werbespot 1977,Volkswagen,TV,2025-02-02,619681,Elyas M'Barek,"Telekom – Erleben, was verbindet.",http://www.wirth.com/,Deutscher Mediapreis
Volkswagen Werbespot 2019,Volkswagen,Instagram,2024-03-22,165477,Manuel Neuer,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,http://textor.de/,YouTube Leaderboard
Adidas Werbespot 2015,Adidas,Instagram,2024-07-17,9125069,Lena Meyer-Landrut,McDonald's – Ich liebe es.,http://herrmann.com/,Deutscher Mediapreis
Volkswagen Werbespot 2018,Volkswagen,TikTok,2023-11-23,4587446,Lena Meyer-Landrut,Erlebe Luxus auf vier Rädern – Mercedes-Benz.,https://www.schinke.de/,YouTube Leaderboard
Adidas Werbespot 2006,Adidas,Facebook,2024-08-08,4326188,Lena Meyer-Landrut,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,https://www.trapp.com/,YouTube Leaderboard
Adidas Werbespot 1977,Adidas,Instagram,2022-05-29,3250708,Florian David Fitz,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,https://www.schmiedecke.com/,Deutscher Mediapreis
Telekom Werbespot 2008,Telekom,TikTok,2023-09-11,1465218,Palina Rojinski,"Telekom – Erleben, was verbindet.",https://atzler.org/,YouTube Leaderboard
Volkswagen Werbespot 1985,Volkswagen,Facebook,2024-08-21,5439135,Lena Meyer-Landrut,Erlebe Luxus auf vier Rädern – Mercedes-Benz.,http://kreusel.com/,YouTube Leaderboard
Nike Werbespot 1993,Nike,TV,2020-07-03,7504978,,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,https://www.lindau.com/,W&V
Nike Werbespot 1993,Nike,TikTok,2022-12-13,201859,Florian David Fitz,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,https://preiss.de/,W&V
Mercedes-Benz Werbespot 2002,Mercedes-Benz,YouTube,2021-02-15,7818032,Helene Fischer,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,https://boerner.com/,Meta Ads Library
Telekom Werbespot 1971,Telekom,TikTok,2023-03-19,1979909,Joko Winterscheidt,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,http://www.henk.com/,W&V
Hornbach Werbespot 2007,Hornbach,Facebook,2021-08-28,2250912,,Saturn macht Technik zum Erlebnis!,https://heinrich.com/,Meta Ads Library
Saturn Werbespot 1982,Saturn,TikTok,2023-12-21,6986731,Palina Rojinski,McDonald's – Ich liebe es.,https://www.schmiedt.net/,Deutscher Mediapreis
McDonald's Werbespot 2000,McDonald's,Facebook,2023-12-13,1383555,,McDonald's – Ich liebe es.,https://www.hamann.net/,Deutscher Mediapreis
McDonald's Werbespot 1988,McDonald's,Instagram,2020-10-29,9475180,Helene Fischer,Jetzt bei Lidl: Qualität zum besten Preis!,http://www.junk.com/,YouTube Leaderboard
McDonald's Werbespot 1987,McDonald's,TikTok,2024-06-16,9618339,,McDonald's – Ich liebe es.,https://kreusel.com/,Meta Ads Library
Volkswagen Werbespot 1993,Volkswagen,Instagram,2023-04-16,7422854,,Jetzt bei Lidl: Qualität zum besten Preis!,https://www.troest.org/,Meta Ads Library
Hornbach Werbespot 2011,Hornbach,TV,2021-01-06,8572677,Helene Fischer,Saturn macht Technik zum Erlebnis!,http://henck.com/,YouTube Leaderboard
Saturn Werbespot 1982,Saturn,Facebook,2023-06-21,6979667,,Saturn macht Technik zum Erlebnis!,http://scheuermann.de/,YouTube Leaderboard
McDonald's Werbespot 1998,McDonald's,TV,2021-11-16,375247,Joko Winterscheidt,"Telekom – Erleben, was verbindet.",https://www.geisel.de/,W&V
Edeka Werbespot 1989,Edeka,Facebook,2021-06-27,1235232,Florian David Fitz,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",http://scholtz.com/,Deutscher Mediapreis
Adidas Werbespot 2002,Adidas,YouTube,2021-06-16,1020921,,Jetzt bei Lidl: Qualität zum besten Preis!,http://patberg.de/,Deutscher Mediapreis
Edeka Werbespot 1997,Edeka,Instagram,2024-06-23,3029585,,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,https://geisel.com/,Deutscher Mediapreis
Adidas Werbespot 2024,Adidas,TV,2022-03-04,6343337,Lena Meyer-Landrut,"Telekom – Erleben, was verbindet.",https://www.hecker.com/,YouTube Leaderboard
McDonald's Werbespot 2023,McDonald's,Facebook,2024-03-08,2000334,Palina Rojinski,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,https://www.drewes.org/,Deutscher Mediapreis
McDonald's Werbespot 2022,McDonald's,Facebook,2024-11-30,68272,,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",https://www.margraf.net/,W&V
Saturn Werbespot 1998,Saturn,TikTok,2021-03-02,8934365,,"Telekom – Erleben, was verbindet.",http://mentzel.de/,Meta Ads Library
Mercedes-Benz Werbespot 1975,Mercedes-Benz,TV,2024-01-12,2612504,Palina Rojinski,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,http://www.weihmann.de/,Meta Ads Library
Lidl Werbespot 2018,Lidl,YouTube,2023-12-09,272492,,Erlebe Luxus auf vier Rädern – Mercedes-Benz.,http://www.haering.com/,Meta Ads Library
Lidl Werbespot 2008,Lidl,YouTube,2023-04-12,573316,Florian David Fitz,Saturn macht Technik zum Erlebnis!,https://www.trommler.org/,YouTube Leaderboard
Mercedes-Benz Werbespot 2005,Mercedes-Benz,YouTube,2021-02-07,7374573,,Erlebe Luxus auf vier Rädern – Mercedes-Benz.,http://hofmann.com/,Meta Ads Library
Edeka Werbespot 2017,Edeka,Facebook,2021-06-04,4863035,,Erlebe Luxus auf vier Rädern – Mercedes-Benz.,http://www.jungfer.net/,W&V
Hornbach Werbespot 2021,Hornbach,TikTok,2023-08-21,3984590,Palina Rojinski,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,https://www.schulz.org/,Meta Ads Library
McDonald's Werbespot 2012,McDonald's,Facebook,2023-10-26,5051569,,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,https://schuster.com/,YouTube Leaderboard
McDonald's Werbespot 1997,McDonald's,TikTok,2024-09-05,7177236,Elyas M'Barek,McDonald's – Ich liebe es.,https://niemeier.com/,Deutscher Mediapreis
Edeka Werbespot 2022,Edeka,Instagram,2021-02-01,8809030,,Dein Style. Deine Regeln. Adidas Originals.,https://reising.net/,Deutscher Mediapreis
Telekom Werbespot 1999,Telekom,Facebook,2022-02-05,6325953,Joko Winterscheidt,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,https://hoelzenbecher.com/,Deutscher Mediapreis
Mercedes-Benz Werbespot 2008,Mercedes-Benz,Facebook,2024-06-03,2431820,Joko Winterscheidt,Saturn macht Technik zum Erlebnis!,https://www.dippel.de/,YouTube Leaderboard
McDonald's Werbespot 1971,McDonald's,TV,2021-05-08,9359720,,McDonald's – Ich liebe es.,http://ackermann.com/,Meta Ads Library
Telekom Werbespot 2014,Telekom,Facebook,2022-11-11,3421424,Joko Winterscheidt,Dein Style. Deine Regeln. Adidas Originals.,http://sontag.org/,YouTube Leaderboard
Saturn Werbespot 1975,Saturn,Instagram,2023-06-17,8996473,Helene Fischer,Erlebe Luxus auf vier Rädern – Mercedes-Benz.,http://www.schottin.net/,YouTube Leaderboard
Nike Werbespot 1999,Nike,TV,2021-01-26,673497,Florian David Fitz,Jetzt bei Lidl: Qualität zum besten Preis!,http://www.naser.com/,Meta Ads Library
Hornbach Werbespot 2010,Hornbach,TikTok,2022-03-21,8052900,,Erlebe Luxus auf vier Rädern – Mercedes-Benz.,https://www.thies.com/,W&V
Nike Werbespot 1998,Nike,YouTube,2021-06-02,3198068,,Jetzt bei Lidl: Qualität zum besten Preis!,https://www.krause.com/,Deutscher Mediapreis
Mercedes-Benz Werbespot 1977,Mercedes-Benz,TikTok,2022-12-17,6664381,,Erlebe Luxus auf vier Rädern – Mercedes-Benz.,https://kranz.com/,W&V
Nike Werbespot 2013,Nike,TV,2021-07-05,8963163,Lena Meyer-Landrut,Dein Style. Deine Regeln. Adidas Originals.,http://www.siering.com/,W&V
Nike Werbespot 1999,Nike,Instagram,2023-04-14,8352928,,Saturn macht Technik zum Erlebnis!,http://www.schoenland.net/,YouTube Leaderboard
Saturn Werbespot 1975,Saturn,Instagram,2021-02-24,6229396,,Dein Style. Deine Regeln. Adidas Originals.,http://www.wagner.de/,Deutscher Mediapreis
Edeka Werbespot 1993,Edeka,TikTok,2023-12-13,2458176,,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",https://www.hofmann.com/,W&V
McDonald's Werbespot 1986,McDonald's,TikTok,2025-01-01,7015797,Florian David Fitz,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,https://www.jacobi.net/,Meta Ads Library
Mercedes-Benz Werbespot 2005,Mercedes-Benz,Instagram,2024-08-18,6382653,,Mach es zu deinem Projekt – mit Hornbach.,http://seifert.net/,Meta Ads Library
Saturn Werbespot 2003,Saturn,TikTok,2023-07-30,4327226,Palina Rojinski,Saturn macht Technik zum Erlebnis!,http://www.schwital.com/,Deutscher Mediapreis
Saturn Werbespot 1994,Saturn,Facebook,2022-12-27,2849807,Palina Rojinski,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,http://loechel.de/,Deutscher Mediapreis
Volkswagen Werbespot 2007,Volkswagen,TikTok,2021-10-06,8800328,Manuel Neuer,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",https://www.schacht.com/,YouTube Leaderboard
Edeka Werbespot 1987,Edeka,YouTube,2022-02-17,2316725,,Erlebe Luxus auf vier Rädern – Mercedes-Benz.,http://www.pechel.de/,YouTube Leaderboard
Volkswagen Werbespot 1998,Volkswagen,YouTube,2023-09-19,8494790,,Saturn macht Technik zum Erlebnis!,http://www.carsten.net/,W&V
Edeka Werbespot 2024,Edeka,TikTok,2021-08-13,8116820,Florian David Fitz,Saturn macht Technik zum Erlebnis!,https://schuster.com/,YouTube Leaderboard
Edeka Werbespot 1991,Edeka,TikTok,2024-01-07,6911115,,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",http://www.christoph.com/,YouTube Leaderboard
McDonald's Werbespot 2000,McDonald's,Instagram,2020-10-05,4819835,,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",https://www.aumann.com/,Deutscher Mediapreis
Volkswagen Werbespot 2017,Volkswagen,YouTube,2020-05-23,8807727,Helene Fischer,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,http://pruschke.org/,Meta Ads Library
Mercedes-Benz Werbespot 1981,Mercedes-Benz,TikTok,2023-06-17,4244874,,Dein Style. Deine Regeln. Adidas Originals.,http://drubin.com/,W&V
Telekom Werbespot 1992,Telekom,YouTube,2023-12-12,6822009,Palina Rojinski,Saturn macht Technik zum Erlebnis!,https://www.trubin.com/,Meta Ads Library
Mercedes-Benz Werbespot 2003,Mercedes-Benz,Instagram,2024-03-02,541577,Helene Fischer,Jetzt bei Lidl: Qualität zum besten Preis!,https://www.roskoth.com/,Deutscher Mediapreis
Telekom Werbespot 1987,Telekom,TV,2021-03-03,7996040,,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",http://www.pergande.com/,YouTube Leaderboard
